OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790412303214|37003040100|Census Tract 401|155355106|177039|G5020|S|20740412303214|37003040100|Census Tract 401|155398874|177039|G5020|S|155355106|177039
20790412303262|37003040200|Census Tract 402|170677976|82398|G5020|S|20740412303262|37003040200|Census Tract 402|170677976|82398|G5020|S|170677976|82398
20790412303307|37003040300|Census Tract 403|73010550|307774|G5020|S|20740412303307|37003040300|Census Tract 403|73010550|307774|G5020|S|73010550|307774
20790412303238|37003040400|Census Tract 404|51605988|245657|G5020|S|20740412303238|37003040400|Census Tract 404|51605988|245657|G5020|S|51605988|245657
20790412303190|37003040500|Census Tract 405|111152703|1354805|G5020|S|20740412303190|37003040500|Census Tract 405|111153921|1354805|G5020|S|111152703|1354805
20790412303333|37003040600|Census Tract 406|71322353|3461195|G5020|S|20740412303333|37003040600|Census Tract 406|71322353|3458573|G5020|S|71322353|3458573
20790412303333|37003040600|Census Tract 406|71322353|3461195|G5020|S|20740412303283|37003040700|Census Tract 407|40233508|3819742|G5020|S|0|2622
20790412303283|37003040700|Census Tract 407|40233508|3817120|G5020|S|20740412303283|37003040700|Census Tract 407|40233508|3819742|G5020|S|40233508|3817120
20790291534939|37005950100|Census Tract 9501|238752891|1287538|G5020|S|20740291534939|37005950100|Census Tract 9501|237732684|1287538|G5020|S|236824566|1287538
20790291534939|37005950100|Census Tract 9501|238752891|1287538|G5020|S|20740291534978|37005950300|Census Tract 9503|292354925|1871814|G5020|S|11974|0
20790291534939|37005950100|Census Tract 9501|238752891|1287538|G5020|S|207403716731375|37171930801|Census Tract 9308.01|238542143|1321256|G5020|S|1904536|0
20790291534939|37005950100|Census Tract 9501|238752891|1287538|G5020|S|207403692362415|51077060102|Census Tract 601.02|170724634|2313504|G5020|S|11815|0
20790291535016|37005950200|Census Tract 9502|77634115|573349|G5020|S|20740291535016|37005950200|Census Tract 9502|77634115|564263|G5020|S|77634115|564263
20790291535016|37005950200|Census Tract 9502|77634115|573349|G5020|S|207403692362415|51077060102|Census Tract 601.02|170724634|2313504|G5020|S|0|2050
20790291535016|37005950200|Census Tract 9502|77634115|573349|G5020|S|207403692362690|51077060201|Census Tract 602.01|195750619|2946506|G5020|S|0|7036
20790291534978|37005950300|Census Tract 9503|291833274|1826335|G5020|S|20740291534978|37005950300|Census Tract 9503|292354925|1871814|G5020|S|291693896|1826335
20790291534978|37005950300|Census Tract 9503|291833274|1826335|G5020|S|207403716971037|37009970800|Census Tract 9708|318059490|4244344|G5020|S|97108|0
20790291534978|37005950300|Census Tract 9503|291833274|1826335|G5020|S|207401915661023|37193960400|Census Tract 9604|337271427|1831|G5020|S|27006|0
20790291534978|37005950300|Census Tract 9503|291833274|1826335|G5020|S|207403692362662|51077060202|Census Tract 602.02|360011149|2072634|G5020|S|15264|0
20790142438551|37007920100|Census Tract 9201|263233070|11326382|G5020|S|20740142438551|37007920100|Census Tract 9201|263233070|11326382|G5020|S|263233070|11326382
20790142438554|37007920200|Census Tract 9202|176905222|1173904|G5020|S|20740142438554|37007920200|Census Tract 9202|176647935|1173904|G5020|S|176634787|1173904
20790142438554|37007920200|Census Tract 9202|176905222|1173904|G5020|S|20740142438561|37007920300|Census Tract 9203|317156470|140939|G5020|S|270435|0
2079015483119749|37007920301|Census Tract 9203.01|230721947|119355|G5020|S|20740142438561|37007920300|Census Tract 9203|317156470|140939|G5020|S|230721947|119355
